"date","close","volume","open","high","low"
"2017/11/14","121.5600","6188692.0000","120.9000","121.9100","120.7700"
"2017/11/13","121.3100","6247181.0000","121.4300","121.5500","121.2700"
"2017/11/10","121.1300","7097517.0000","121.9900","122.1100","120.9350"
"2017/11/09","122.1300","6072394.0000","121.8500","122.4100","121.7300"
"2017/11/08","121.6300","5564212.0000","121.9500","122.2500","121.5900"
"2017/11/07","121.2100","4164329.0000","121.5100","121.5600","120.7800"
"2017/11/06","121.6500","6952287.0000","120.7200","121.8500","120.6800"
"2017/11/03","120.6200","6291275.0000","121.3600","121.4300","120.1844"
"2017/11/02","121.1900","5367746.0000","121.2900","121.9600","121.0500"
"2017/11/01","121.1100","4647512.0000","120.9800","121.5500","120.8350"
"2017/10/31","120.6700","3910395.0000","120.8200","120.8400","120.3800"
"2017/10/30","121.1300","5115433.0000","120.9300","121.4700","120.8000"
"2017/10/27","120.9000","6663178.0000","120.3800","120.9900","120.2100"
"2017/10/26","120.3300","6406357.0000","121.1600","121.1600","120.2200"
"2017/10/25","121.3500","4282252.0000","121.3100","121.5899","120.8400"
"2017/10/24","121.3300","5080322.0000","121.2600","121.7100","120.9800"
"2017/10/23","121.8000","5069100.0000","120.9800","121.9000","120.9600"
"2017/10/20","121.6100","8480907.0000","121.6800","121.9800","121.3900"
"2017/10/19","122.3900","5562154.0000","122.2000","122.5500","122.1110"
"2017/10/18","121.6700","3663554.0000","121.7100","121.9400","121.5500"
"2017/10/17","122.1300","7037155.0000","122.0300","122.3200","121.7300"
"2017/10/16","122.9700","8199763.0000","123.8200","123.9700","122.5700"
"2017/10/13","123.8200","6808619.0000","123.6600","123.8600","123.3400"
"2017/10/12","122.8900","3010725.0000","122.8400","123.0350","122.5000"
"2017/10/11","122.7900","5645183.0000","122.5700","122.8800","122.0300"
"2017/10/10","122.4000","9314834.0000","122.6200","122.9700","122.3600"
"2017/10/09","122.0800","5239462.0000","121.6400","122.1100","121.5510"
"2017/10/06","121.0900","10010540.0000","120.2600","121.2100","119.7835"
"2017/10/05","120.5200","6204168.0000","121.1500","121.2400","120.3950"
"2017/10/04","121.1700","6465840.0000","121.2100","121.2700","120.7101"
"2017/10/03","120.8300","3727618.0000","120.7200","121.1000","120.7041"
"2017/10/02","120.7700","11748450.0000","121.1700","121.3400","120.7400"
"2017/09/29","121.5800","10207240.0000","122.2900","122.3000","121.5500"
"2017/09/28","122.2100","5952132.0000","122.0400","122.4750","121.8300"
"2017/09/27","121.9800","6901984.0000","122.0400","122.5100","121.8800"
"2017/09/26","123.1400","8653338.0000","123.5700","123.8100","122.9000"
"2017/09/25","124.5300","10235710.0000","122.7800","124.6600","122.7100"
"2017/09/22","123.2400","6011635.0000","123.0300","123.3900","122.9348"
"2017/09/21","122.6800","7754508.0000","122.5600","123.0700","122.4900"
"2017/09/20","123.6200","11402690.0000","124.6800","125.0599","123.1500"
"2017/09/19","124.6200","5824242.0000","124.4900","124.6500","124.0300"
"2017/09/18","124.3600","8835621.0000","124.7100","124.7600","123.9650"
"2017/09/15","125.5300","7689359.0000","125.9900","125.9900","125.4100"
"2017/09/14","126.1600","5285917.0000","125.6600","126.4400","125.6200"
"2017/09/13","125.6100","8474732.0000","126.4000","126.4500","125.5000"
"2017/09/12","126.5600","8338701.0000","126.0300","126.5900","125.9400"
"2017/09/11","126.1900","9106786.0000","126.7400","126.9400","126.0450"
"2017/09/08","127.9700","9019782.0000","128.2050","128.3000","127.5900"
"2017/09/07","128.1300","10204000.0000","127.5600","128.3200","127.3900"
"2017/09/06","126.8100","10053690.0000","127.3400","127.4400","126.5500"
"2017/09/05","127.4600","11796700.0000","126.6500","127.7800","126.5700"
"2017/09/01","126.0600","11561840.0000","126.0100","126.1700","125.1200"
"2017/08/31","125.8200","11770490.0000","124.5800","125.8400","124.5500"
"2017/08/30","124.3600","6327927.0000","124.3300","124.6200","124.1600"
"2017/08/29","124.4200","9852197.0000","125.8100","125.8700","124.0545"
"2017/08/28","124.6900","11488670.0000","123.3300","124.7300","123.3300"
"2017/08/25","122.7400","12397770.0000","122.7700","123.0200","121.2900"
"2017/08/24","122.2900","4193036.0000","122.3900","122.6400","122.1300"
"2017/08/23","122.6700","5027832.0000","122.5800","122.6900","122.3100"
"2017/08/22","122.2100","6492384.0000","122.5600","122.5600","121.8500"
"2017/08/21","122.7600","5549100.0000","122.5400","122.9810","122.5000"
"2017/08/18","122.3000","13654120.0000","123.3700","123.5400","122.0000"
"2017/08/17","122.4900","8179597.0000","122.2900","122.6099","121.7600"
"2017/08/16","121.8700","8261410.0000","120.6600","122.0600","120.6600"
"2017/08/15","120.9800","6729194.0000","120.6000","121.2299","120.5828"
"2017/08/14","121.9200","6024478.0000","121.9800","122.2400","121.6845"
"2017/08/11","122.7900","8010893.0000","122.2400","122.8300","122.0300"
"2017/08/10","122.2100","9783194.0000","122.0800","122.4400","122.0300"
"2017/08/09","121.3100","9181911.0000","121.0200","121.5500","120.7600"
"2017/08/08","119.8600","7220365.0000","120.0200","120.1200","118.9700"
"2017/08/07","119.5100","3008338.0000","119.4300","119.7900","119.4300"
"2017/08/04","119.6500","8644008.0000","119.9700","120.0390","119.2201"
"2017/08/03","120.5900","4274456.0000","120.3100","120.8300","120.3100"
"2017/08/02","120.4000","5918339.0000","120.5100","121.0200","120.3400"
"2017/08/01","120.6500","7361056.0000","120.4400","121.1400","120.4400"
"2017/07/31","120.7500","3940070.0000","120.5000","120.8050","120.4500"
"2017/07/28","120.6900","7392937.0000","120.1500","120.8558","120.1400"
"2017/07/27","119.7900","6383696.0000","120.1000","120.1400","119.2800"
"2017/07/26","119.8800","8527602.0000","118.5700","120.1500","118.5500"
"2017/07/25","118.9200","6190096.0000","118.9900","119.3200","118.7900"
"2017/07/24","119.3100","3651081.0000","119.5200","119.5762","119.1800"
"2017/07/21","119.2600","10135620.0000","119.0000","119.3900","118.7510"
"2017/07/20","118.2400","5570453.0000","117.9200","118.6200","117.6600"
"2017/07/19","118.0800","3203714.0000","118.1800","118.2700","117.8363"
"2017/07/18","118.1100","7157005.0000","117.9900","118.3300","117.8800"
"2017/07/17","117.2900","5168085.0000","117.4200","117.5300","117.2300"
"2017/07/14","116.7700","5786710.0000","117.0400","117.2500","116.6400"
"2017/07/13","115.8200","4113038.0000","116.0400","116.0400","115.6700"
"2017/07/12","116.0300","4646798.0000","116.2100","116.3300","115.8700"
